Last Updated,Town,Rep District,Sen District,MARK COESTER,GERALD MALLOY,Total Write Ins,Total
08/13/2026 10:56 AM,GRANVILLE,ORANGE WASHINGTON ADDISON,ADDISON_,4,3,1,13
08/13/2026 10:56 AM,GREENSBORO,ORLEANS-4,ORLEANS_,4,15,0,27
08/13/2026 10:56 AM,GROTON,ORANGE CALEDONIA,CALEDONIA_,10,46,2,60
08/13/2026 10:56 AM,GUILDHALL,ESSEX CALEDONIA,ESSEX_,13,15,0,35
08/13/2026 10:56 AM,GUILFORD,WINDHAM-1,WINDHAM_,13,36,1,53
08/13/2026 10:56 AM,HALIFAX,WINDHAM-6,WINDHAM_,7,49,0,57
08/13/2026 10:56 AM,HANCOCK,WINDSOR ADDISON,ADDISON_,3,8,0,13
08/13/2026 10:56 AM,HARDWICK,CALEDONIA 2,CALEDONIA_,24,56,0,88
08/13/2026 10:56 AM,HARTFORD,"WINDSOR-4, WINDSOR-6",WINDSOR_,38,141,3,202
08/13/2026 10:56 AM,HARTLAND,WINDSOR-1,WINDSOR_,15,77,0,104
08/13/2026 10:56 AM,HIGHGATE,FRANKLIN-5,FRANKLIN_,29,155,5,197
08/13/2026 10:56 AM,HINESBURG,"CHITTENDEN-4, CHITTENDEN-5",CHITTENDEN-SOUTHEAST_,18,67,2,94
08/13/2026 10:56 AM,HOLLAND,ESSEX ORLEANS,ESSEX_,12,25,2,45
08/13/2026 10:56 AM,HUBBARDTON,ADDISON RUTLAND,RUTLAND_,10,36,1,51
08/13/2026 10:56 AM,HUNTINGTON,WASHINGTON CHITTENDEN,ADDISON_,10,44,1,58
08/13/2026 10:56 AM,HYDE PARK,LAMOILLE-2,LAMOILLE_,35,65,1,109
08/13/2026 10:56 AM,IRA,RUTLAND-1,RUTLAND_,1,23,0,29
08/13/2026 10:56 AM,IRASBURG,ORLEANS LAMOILLE,ORLEANS_,7,41,3,57
08/13/2026 10:56 AM,ISLE LA MOTTE,GRAND ISLE CHITTENDEN,GRAND ISLE_,9,33,1,46
08/13/2026 10:56 AM,JAMAICA,WINDHAM-2,WINDHAM_,15,14,0,34
08/13/2026 10:56 AM,JAY,ORLEANS LAMOILLE,ORLEANS_,8,12,0,21
08/13/2026 10:56 AM,JERICHO,CHITTENDEN 3,CHITTENDEN-SOUTHEAST_,16,104,0,141
08/13/2026 10:56 AM,JOHNSON,LAMOILLE-2,LAMOILLE_,19,47,0,77
08/13/2026 10:56 AM,KILLINGTON,RUTLAND-11,RUTLAND_,39,112,2,209
08/13/2026 10:56 AM,KIRBY,CALEDONIA ESSEX,ESSEX_,8,17,1,32
08/13/2026 10:56 AM,LEICESTER,ADDISON-2,ADDISON_,13,49,1,70
08/13/2026 10:56 AM,LEMINGTON,ESSEX ORLEANS,ESSEX_,2,1,0,3
08/13/2026 10:56 AM,LINCOLN,ADDISON-4,ADDISON_,12,44,0,63
08/13/2026 10:56 AM,LONDONDERRY,WINDHAM WINDSOR BENNINGTON,BENNINGTON_,16,47,2,78
08/13/2026 10:56 AM,LOWELL,ORLEANS LAMOILLE,ORLEANS_,12,33,0,50
08/13/2026 10:56 AM,LUDLOW,RUTLAND WINDSOR,WINDSOR_,16,79,0,103
08/13/2026 10:56 AM,LUNENBURG,ESSEX CALEDONIA,ESSEX_,25,47,3,94
08/13/2026 10:56 AM,LYNDON,CALEDONIA 3,ESSEX_,78,254,23,425
08/13/2026 10:56 AM,MAIDSTONE,ESSEX CALEDONIA,ESSEX_,5,10,0,21
08/13/2026 10:56 AM,MANCHESTER,BENNINGTON-4,BENNINGTON_,38,89,0,142
08/13/2026 10:56 AM,MARLBORO,WINDHAM-5,WINDHAM_,4,5,0,12
08/13/2026 10:56 AM,MARSHFIELD,WASHINGTON-6,WASHINGTON_,17,43,1,68
08/13/2026 10:56 AM,MENDON,RUTLAND-11,RUTLAND_,14,33,0,50
08/13/2026 10:56 AM,MIDDLEBURY,"ADDISON-1, ADDISON-5",ADDISON_,29,186,3,252
08/13/2026 10:56 AM,MIDDLESEX,WASHINGTON-5,WASHINGTON_,14,57,0,96
08/13/2026 10:56 AM,MIDDLETOWN SPRINGS,RUTLAND BENNINGTON,RUTLAND_,10,21,0,39
08/13/2026 10:56 AM,MILTON,"CHITTENDEN FRANKLIN, CHITTENDEN-25, GRAND ISLE CHITTENDEN",CHITTENDEN-NORTH_,54,419,4,524
08/13/2026 10:56 AM,MONKTON,ADDISON-4,ADDISON_,19,71,0,106
08/13/2026 10:56 AM,MONTGOMERY,FRANKLIN-7,ORLEANS_,21,45,3,85
08/13/2026 10:56 AM,MONTPELIER,WASHINGTON-4,WASHINGTON_,18,50,1,87
08/13/2026 10:56 AM,MORETOWN,WASHINGTON-2,WASHINGTON_,13,35,0,60
08/13/2026 10:56 AM,MORGAN,ESSEX ORLEANS,ESSEX_,13,39,0,52
08/13/2026 10:56 AM,MORRISTOWN,LAMOILLE WASHINGTON,LAMOILLE_,28,96,4,145
08/13/2026 10:56 AM,MOUNT HOLLY,RUTLAND WINDSOR,RUTLAND_,16,68,0,87
08/13/2026 10:56 AM,MOUNT TABOR,BENNINGTON RUTLAND,RUTLAND_,2,7,0,10
08/13/2026 10:56 AM,NEW HAVEN,"ADDISON-3, ADDISON-5",ADDISON_,21,107,3,149
08/13/2026 10:56 AM,NEWARK,CALEDONIA 3,ORLEANS_,15,31,1,55
08/13/2026 10:56 AM,NEWBURY,ORANGE CALEDONIA,CALEDONIA_,11,55,0,72
08/13/2026 10:56 AM,NEWFANE,WINDHAM-5,WINDHAM_,42,24,1,71
08/13/2026 10:56 AM,NEWPORT CITY,ORLEANS-2,ESSEX_,29,80,0,124
08/13/2026 10:56 AM,NEWPORT TOWN,ORLEANS LAMOILLE,ORLEANS_,12,43,5,69
08/13/2026 10:56 AM,NORTH HERO,GRAND ISLE CHITTENDEN,GRAND ISLE_,6,46,0,57
08/13/2026 10:56 AM,NORTHFIELD,WASHINGTON-1,WASHINGTON_,42,111,4,187
08/13/2026 10:56 AM,NORTON,ESSEX ORLEANS,ESSEX_,5,12,0,19
08/13/2026 10:56 AM,NORWICH,WINDSOR ORANGE 2,WINDSOR_,11,26,1,44
08/13/2026 10:56 AM,ORANGE,ORANGE-1,WASHINGTON_,18,57,3,82
08/13/2026 10:56 AM,ORWELL,ADDISON RUTLAND,ADDISON_,26,89,4,134
08/13/2026 10:56 AM,PANTON,ADDISON-3,ADDISON_,10,18,0,33
08/13/2026 10:56 AM,PAWLET,RUTLAND BENNINGTON,RUTLAND_,19,53,1,82
08/13/2026 10:56 AM,PEACHAM,CALEDONIA WASHINGTON,CALEDONIA_,6,24,2,39
08/13/2026 10:56 AM,PERU,BENNINGTON RUTLAND,BENNINGTON_,1,10,1,14
08/13/2026 10:56 AM,PITTSFIELD,RUTLAND-11,WINDSOR_,2,24,0,26
08/13/2026 10:56 AM,PITTSFORD,RUTLAND-8,RUTLAND_,25,80,2,112
08/13/2026 10:56 AM,PLAINFIELD,WASHINGTON-6,WASHINGTON_,10,27,0,40
08/13/2026 10:56 AM,PLYMOUTH,WINDSOR-5,WINDSOR_,8,22,0,31
08/13/2026 10:56 AM,POMFRET,WINDSOR-4,WINDSOR_,5,18,1,27
08/13/2026 10:56 AM,POULTNEY,RUTLAND-1,RUTLAND_,25,111,1,155
08/13/2026 10:56 AM,POWNAL,"BENNINGTON-1, BENNINGTON-5",BENNINGTON_,44,96,2,159
08/13/2026 10:56 AM,PROCTOR,RUTLAND-8,RUTLAND_,10,33,3,56
08/13/2026 10:56 AM,PUTNEY,WINDHAM-4,WINDHAM_,12,15,0,30
08/13/2026 10:56 AM,RANDOLPH,ORANGE WASHINGTON ADDISON,ORANGE_,32,99,3,153
08/13/2026 10:56 AM,READING,WINDSOR-5,WINDSOR_,3,30,0,34
08/13/2026 10:56 AM,READSBORO,BENNINGTON-1,BENNINGTON_,17,19,0,38
08/13/2026 10:56 AM,RICHFORD,FRANKLIN-5,FRANKLIN_,21,76,3,115
08/13/2026 10:56 AM,RICHMOND,CHITTENDEN 1,CHITTENDEN-SOUTHEAST_,20,38,1,68
08/13/2026 10:56 AM,RIPTON,ADDISON-2,ADDISON_,4,14,0,21
08/13/2026 10:56 AM,ROCHESTER,WINDSOR ADDISON,ADDISON_,4,28,3,41
08/13/2026 10:56 AM,ROCKINGHAM,WINDHAM-3,WINDHAM_,33,46,0,84
08/13/2026 10:56 AM,ROXBURY,ORANGE WASHINGTON ADDISON,WASHINGTON_,11,21,0,43
08/13/2026 10:56 AM,ROYALTON,WINDSOR ORANGE 1,WINDSOR_,29,62,2,111
08/13/2026 10:56 AM,RUPERT,RUTLAND BENNINGTON,BENNINGTON_,7,25,0,40
08/13/2026 10:56 AM,RUTLAND CITY,"RUTLAND-4, RUTLAND-5, RUTLAND-6, RUTLAND-7",RUTLAND_,81,332,8,450
08/13/2026 10:56 AM,RYEGATE,CALEDONIA 1,CALEDONIA_,10,44,2,57
08/13/2026 10:56 AM,SAINT ALBANS CITY,"FRANKLIN-3, FRANKLIN-8",FRANKLIN_,41,121,10,184
08/13/2026 10:56 AM,SAINT ALBANS TOWN,"FRANKLIN-2, FRANKLIN-8",FRANKLIN_,40,196,11,267
08/13/2026 10:56 AM,SAINT GEORGE,CHITTENDEN-7,CHITTENDEN-SOUTHEAST_,2,21,0,24
08/13/2026 10:56 AM,SAINT JOHNSBURY,CALEDONIA ESSEX,CALEDONIA_,90,258,13,425
08/13/2026 10:56 AM,SALISBURY,ADDISON-2,ADDISON_,8,31,0,44
08/13/2026 10:56 AM,SANDGATE,BENNINGTON-4,BENNINGTON_,2,22,0,25
08/13/2026 10:56 AM,SEARSBURG,BENNINGTON-1,BENNINGTON_,7,3,0,10
08/13/2026 10:56 AM,SHAFTSBURY,BENNINGTON-3,BENNINGTON_,51,146,1,219
08/13/2026 10:56 AM,SHARON,WINDSOR ORANGE 2,WINDSOR_,2,44,2,51
08/13/2026 10:56 AM,SHEFFIELD,CALEDONIA 3,ORLEANS_,10,41,4,63
08/13/2026 10:56 AM,SHELBURNE,"CHITTENDEN-6, CHITTENDEN-7",CHITTENDEN-SOUTHEAST_,23,149,4,198
08/13/2026 10:56 AM,SHELDON,FRANKLIN-4,FRANKLIN_,14,72,4,90
08/13/2026 10:56 AM,SHOREHAM,ADDISON RUTLAND,ADDISON_,18,59,0,84
08/13/2026 10:56 AM,SHREWSBURY,RUTLAND WINDSOR,RUTLAND_,12,34,0,48
08/13/2026 10:56 AM,SOUTH BURLINGTON,"CHITTENDEN-10, CHITTENDEN-11, CHITTENDEN-12, CHITTENDEN-8, CHITTENDEN-9",CHITTENDEN-SOUTHEAST_,65,308,7,449
08/13/2026 10:56 AM,SOUTH HERO,GRAND ISLE CHITTENDEN,GRAND ISLE_,10,82,3,109
08/13/2026 10:56 AM,SPRINGFIELD,WINDSOR-3,WINDSOR_,77,321,3,420
08/13/2026 10:56 AM,STAMFORD,BENNINGTON-1,BENNINGTON_,12,11,0,31
08/13/2026 10:56 AM,STANNARD,CALEDONIA 2,CALEDONIA_,4,8,0,12
08/13/2026 10:56 AM,STARKSBORO,ADDISON-4,ADDISON_,16,63,0,89
08/13/2026 10:56 AM,STOCKBRIDGE,WINDSOR ADDISON,WINDSOR_,3,23,0,28
08/13/2026 10:56 AM,STOWE,"LAMOILLE WASHINGTON, LAMOILLE-1",WASHINGTON_,6,54,0,78
08/13/2026 10:56 AM,STRAFFORD,WINDSOR ORANGE 2,ORANGE_,7,9,0,17
08/13/2026 10:56 AM,STRATTON,WINDHAM-2,BENNINGTON_,3,6,0,9
08/13/2026 10:56 AM,SUDBURY,ADDISON RUTLAND,RUTLAND_,3,17,0,23
08/13/2026 10:56 AM,SUNDERLAND,"BENNINGTON-3, BENNINGTON-4",BENNINGTON_,8,31,0,43
08/13/2026 10:56 AM,SUTTON,CALEDONIA 3,ORLEANS_,14,57,1,78
08/13/2026 10:56 AM,SWANTON,FRANKLIN-4,FRANKLIN_,39,193,4,256
08/13/2026 10:56 AM,THETFORD,WINDSOR ORANGE 2,WINDSOR_,12,40,0,54
08/13/2026 10:56 AM,TINMOUTH,RUTLAND BENNINGTON,RUTLAND_,6,25,0,37
08/13/2026 10:56 AM,TOPSHAM,ORANGE CALEDONIA,ORANGE_,34,65,1,114
08/13/2026 10:56 AM,TOWNSHEND,WINDHAM-5,WINDHAM_,17,18,0,40
08/13/2026 10:56 AM,TROY,ORLEANS LAMOILLE,ORLEANS_,14,32,3,55
08/13/2026 10:56 AM,TUNBRIDGE,WINDSOR ORANGE 1,ORANGE_,26,73,1,127
08/13/2026 10:56 AM,UNDERHILL,CHITTENDEN 3,CHITTENDEN-SOUTHEAST_,13,85,1,110
08/13/2026 10:56 AM,VERGENNES,ADDISON-3,ADDISON_,23,89,0,124
08/13/2026 10:56 AM,VERNON,WINDHAM-1,WINDHAM_,26,44,0,75
08/13/2026 10:56 AM,VERSHIRE,ORANGE-1,ORANGE_,8,26,3,41
08/13/2026 10:56 AM,VICTORY,ESSEX CALEDONIA,ESSEX_,2,18,0,25
08/13/2026 10:56 AM,WAITSFIELD,WASHINGTON-2,WASHINGTON_,13,29,0,49
08/13/2026 10:56 AM,WALDEN,CALEDONIA 2,CALEDONIA_,7,28,1,42
08/13/2026 10:56 AM,WALLINGFORD,RUTLAND-2,RUTLAND_,20,50,0,77
08/13/2026 10:56 AM,WALTHAM,ADDISON-3,ADDISON_,6,23,1,33
08/13/2026 10:56 AM,WARDSBORO,WINDHAM-2,WINDHAM_,12,11,0,25
08/13/2026 10:56 AM,WARREN,WASHINGTON-2,WASHINGTON_,9,21,2,35
08/13/2026 10:56 AM,WASHINGTON,ORANGE-1,ORANGE_,11,57,0,82
08/13/2026 10:56 AM,WATERBURY,WASHINGTON CHITTENDEN,WASHINGTON_,22,57,2,97
08/13/2026 10:56 AM,WATERFORD,CALEDONIA 1,CALEDONIA_,27,71,0,118
08/13/2026 10:56 AM,WATERVILLE,LAMOILLE-3,LAMOILLE_,6,32,1,41
08/13/2026 10:56 AM,WEATHERSFIELD,WINDSOR-2,WINDSOR_,42,146,2,200
08/13/2026 10:56 AM,WELLS,"RUTLAND BENNINGTON, RUTLAND-1",RUTLAND_,12,46,0,64
08/13/2026 10:56 AM,WEST FAIRLEE,ORANGE-2,ORANGE_,2,17,0,20
08/13/2026 10:56 AM,WEST HAVEN,RUTLAND-10,RUTLAND_,4,8,1,14
08/13/2026 10:56 AM,WEST RUTLAND,RUTLAND-2,RUTLAND_,18,67,1,94
08/13/2026 10:56 AM,WEST WINDSOR,WINDSOR-1,WINDSOR_,4,39,1,49
08/13/2026 10:56 AM,WESTFIELD,ORLEANS LAMOILLE,ORLEANS_,14,19,0,34
08/13/2026 10:56 AM,WESTFORD,CHITTENDEN-25,CHITTENDEN-NORTH_,11,49,1,65
08/13/2026 10:56 AM,WESTMINSTER,WINDHAM-3,WINDHAM_,30,28,0,63
08/13/2026 10:56 AM,WESTMORE,ORLEANS-3,ORLEANS_,7,9,1,18
08/13/2026 10:56 AM,WESTON,WINDHAM WINDSOR BENNINGTON,WINDSOR_,4,20,0,26
08/13/2026 10:56 AM,WEYBRIDGE,ADDISON-5,ADDISON_,5,26,0,32
08/13/2026 10:56 AM,WHEELOCK,CALEDONIA 3,CALEDONIA_,9,34,1,54
08/13/2026 10:56 AM,WHITING,ADDISON RUTLAND,ADDISON_,3,19,0,25
08/13/2026 10:56 AM,WHITINGHAM,WINDHAM-6,WINDHAM_,10,45,0,56
08/13/2026 10:56 AM,WILLIAMSTOWN,"ORANGE-3, WASHINGTON ORANGE",ORANGE_,24,104,2,144
08/13/2026 10:56 AM,WILLISTON,"CHITTENDEN 2, CHITTENDEN-8",CHITTENDEN-SOUTHEAST_,58,222,2,318
08/13/2026 10:56 AM,WILMINGTON,WINDHAM-6,BENNINGTON_,13,23,1,38
08/13/2026 10:56 AM,WINDHAM,WINDSOR WINDHAM,WINDHAM_,4,7,0,11
08/13/2026 10:56 AM,WINDSOR,WINDSOR-1,WINDSOR_,15,76,0,94
08/13/2026 10:56 AM,WINHALL,WINDHAM WINDSOR BENNINGTON,BENNINGTON_,16,47,3,85
08/13/2026 10:56 AM,WINOOSKI,CHITTENDEN-21,CHITTENDEN-CENTRAL_,11,47,0,62
08/13/2026 10:56 AM,WOLCOTT,LAMOILLE-2,LAMOILLE_,13,30,1,47
08/13/2026 10:56 AM,WOODBURY,LAMOILLE WASHINGTON,WASHINGTON_,8,32,1,49
08/13/2026 10:56 AM,WOODFORD,BENNINGTON-1,BENNINGTON_,4,21,0,25
08/13/2026 10:56 AM,WOODSTOCK,WINDSOR-5,WINDSOR_,21,85,0,139
08/13/2026 10:56 AM,WORCESTER,LAMOILLE WASHINGTON,WASHINGTON_,22,33,0,60
,LANDGROVE,BENNINGTON RUTLAND,BENNINGTON_,0,0,0,0
08/13/2026 11:17:09 AM,RUTLAND TOWN,"RUTLAND-2, RUTLAND-4",RUTLAND_,29,146,1,191
